Spingarn Medal 	स्पिनगार्न मेडल 
Abdul quddus 	अब्दुल कुद्दुस 
Gary Crocker 	गैरी क्रॉकर 
Cape Maclear 	केप मैकलियर 
Mars Hill 	मार्स हिल 
Azeemul Haniff 	अज़ीमुल हनिफ 
Choron Ki Baraat 	चोरों की बारात 
Narsi Mehta 	नरसी मेहता 
Prix des Deux-Magots 	प्रिक्स डेस ड्‍यूक्स-मैगट्‍स 
Laureus World Sports Awards 	लॉरेस वर्ल्ड स्पोर्ट्‍स अवार्ड्‍स 
Fort wayne 	फोर्ट वेन 
Carlos Castaneda 	कार्लोस कॅसटेनेडा 
Jaipur fort 	जयपुर फोर्ट 
Hindi milap 	ह‍िन्दी म‍िलाप 
Lalithamana Fernando 	ललिथमना फर्नेंडो 
Hum Hindustani 	हम हिंदुस्तानी 
Bayard cove fort 	बेयार्ड कोव फोर्ट 
Andy Whittall 	एण्डी व्हिट्टल 
Abdul khabeer 	अब्दुल खबीर 
Rubin Museum of Art 	रुब‍िन म्युज़ियम ऑफ आर्ट 
Tate Gallery 	टेट गैलरी 
Medal of the Gold Star 	मेडल ऑफ द गोल्ड स्टार 
Fort belan 	फोर्ट बेलन 
Syed Abid Ali 	सय्यद अबिद अली 
Garwa Road 	गरवा रोड 
Erzherzog Franz Ferdinand 	अर्ज़रज़ोग फ्रैंज फर्डिनांड 
Kahin Aur Chal 	कहीं और चल 
Vinod Mishra 	विनोद मिश्र 
Khaufnak Aankhen 	खौफनाक आँखें 
Alpesh Vadher 	अल्पेश वाढ़ेर 
Pyar Ki Raat 	प्यार की रात 
Re Umberto 	रे अम्बर्टो 
Prem Pariksha 	प्रेम परीक्षा 
Mick Malone 	मिक मैलोन 
Chris Martin 	क्रिस मॉर्टिन 
Fort wallace 	फोर्ट वैलेस 
Russo-Turkish War 	रशो-टर्किश वार 
Jack the ripper 	जैक द रिपर 
Gurudwara Nanak Piaau 	गुरूद्वारा नानक पिआऊ 
Keerthi Ranasinghe 	किर्ति राणासिंघे 
Nicholas Appert Award 	निकोलस एपर्ट अवार्ड 
Aluabari Road 	अलुयाबरी रोड 
American International Building 	अमेरिकन इंटरनेशनल बिल्डिंग 
Fort william henry 	फोर्ट विलियम हनरी 
Rod Serling 	रॉड सरलिंग 
Maine Jeena Seekh Liya 	‍मैंने जीना सीख लिया 
Zee Telefims 	ज़ी टेलीफ़िल्म्स 
Armand Hammer 	अरमंड हॅमर 
Faraar Quaidi 	फरार क़ैदी 
Guj Ind Power 	गुजरात इंड पॉवर 
Frederic Francois Chopin 	फ़्रेंडरिक फ़्रांसीस चॉपिन 
Behake Kadam 	बहके कदम 
Grammy Trustees Award 	ग्रैमी ट्रस्टीस अवार्ड 
Ramesh Powar 	रमेश पोवार 
Daulatabad fort 	दौलताबाद फोर्ट 
Dalli Rajhara 	दली राजहारा 
Kora Anchal 	कोरा आँचल 
Vikram Rathour 	विक्रम राठौर 
Hubert Humphrey 	ह्युबर्ट हम्फ़्री 
Malai malar 	मलाई मलर 
Prince William 	प्रिंस विलियम 
Abdul baaree 	अब्दुल बारी 
Nothe fort 	नोथ फोर्ट 
Ashantha De Mel 	अशांथा डे मेल 
Datamatics Tech 	डेटामेटिक्स टेक 
Bombay Race Course 	बॉम्बे रेस कोर्स 
Dover turret fort 	डॉवर टर्रेट फोर्ट 
Woodstock School, Mussoorie 	वूडस्टॉक स्कूल, मसूरी 
Model English School, Dombivli 	मॉडेल इंग्लिश स्कूल, डोम्बिवली‍ 
Gokhale Memorial Girls School, Calcutta 	गोखले मेमोर‍ियल गर्ल्स स्कूल, कैलकटा 
Shola Jo Bhadke 	शोला जो भड़के 
David Terbrugge 	डेविड टर्ब्रग 
Punjab Mail 	पंजाब मेल 
Qayamat Ki Raat 	क़यामत की रात 
Meri Awaaz Suno 	मेरी आवाज़ सुनो 
Duff Cooper Prize 	डफ कूपर प्राइज़ 
Wilhem Busch Museum 	व‍िल्हेम बुश म्युज़ियम 
Ram Darshan 	राम दर्शन 
Azam Khan 	आज़म खान 
Keanu Reeves 	कैनु रीव्स 
Chuck Barry 	चुक बेरी 
Andre Adams 	आन्द्रे एडम्स 
Yamashiro Maru 	यमाशिरो मारू 
Keith Fletcher 	कैथ फ्लेचर 
National herald 	नेशनल हेराल्ड 
Bhavani Nagar 	भावनी नगर 
The Robert Gordon University 	द रॉबर्ट गॉर्डन यूनिवर्सिटी 
Yitzhak Robin 	यिट्ज़हॅक रॉबिन 
Titan Industries 	टाइटन इंडस्ट्रीज़ 
Fort hamilton 	फोर्ट हैमिल्टन 
Kali Ganga 	काली गंगा 
Balyogi Upmanyu 	बालयोगी उपमन्यु 
Max India 	मैक्स इंडिया 
Fort macleod 	फोर्ट मैकलेयोड 
Sridharan Jeganathan 	श्रीधरन जगनाथन 
Fort smith 	फोर्ट स्मिथ 
Socrates Sculpture Park 	सॉक्रेट्स स्कल्पचर पार्क 
Jeene Do 	जीने दो 
Gholam Nousher 	गोलाम नौशर 
Bass Strait 	बास स्ट्रेट 
Takhat Shri Sachkhand Sahib, Nanded (Maharashtra) 	तखत श्री सचखंड साहिब, नांदेड़ (महाराष्‍ट्र) 
Dodi Fayad 	डोडी फ़ेयड 
Saint Michael's Academy, Chennai 	सेंट माइकल्स एकेडमी, चेन्नई 
Aakhri Goli 	आखिरी गोली 
Phil DeFreitas 	फिल डेफ्रेटास 
Hamara Khandaan 	हमारा खानदान 
Samaj Ko Badal Dalo 	समाज को बदल डालो 
Harvard University 	हावर्ड यूनिवर्सिटी 
Govindgarh Malk 	गोविंदगढ़ माल्क 
Brendan Fraser 	ब्रेंडन फ़्रेसिर 
Enamul Haque 	एनामुल हक 
Paanch Khiladi 	पाँच खिलाड़ी 
Kismat Ki Kasauti 	किस्मत की कसौटी 
Sant Ravidas Ki Amar Kahani 	संत रविदास की अमर कहानी 
Waqar Younis 	वकार युनिस 
Batang Ai Dam 	बतांग अई डैम 
Hewlett Packard 	ह्यूलेट पेकार्ड 
Paraguayan harp 	पैरागुएन हार्प 
Nick Nolte 	निक नोल्टे 
Ganj Basoda 	गंज बसोदा 
Lady Godiva 	लेडी गॉडिवा 
Major League Lacrosse Sportsman of the Year Award 	मेजर लीग लैक्रोस स्पोर्ट्‍समैन ऑफ द ईयर अवार्ड 
Badle Ki Aag 	बदले की आग 
Dilruba Tangewali 	दिलरुबा ताँगेवाली 
Fort zeelandia 	फोर्ट ज़ीलैंडिया 
Abdul muhaayamin 	अब्दुल मुहायमीन 
Vibhuti Bhushan 	विभूति भूषण 
Balmer Lawrie 	बालमेर लॉरी 
Naya Rasta 	नय रास्ता 
Oos Raat Ke Baad 	उस रात के बाद 
Bristol channel fort 	ब्रिस्टल चैनल फोर्ट 
Daleville Baptist 	डेलविले बैपटिस्ट 
Dyani Kitten 	डाएनी कीटन 
Hathon Ki Lakeer 	हाथों की लकीर 
Fort wentworth 	फोर्ट वेंटवर्थ 
John F. Kennedy 	जॉन एफ. केनेडी 
Chaure Bazar 	चौरे बाज़ार 
Mitsubishi Motors 	मित्सुबिशी मोटर्स 
Shaadi Ki Raat 	शादी की रात 
Devon Smith 	डेवन स्मिथ 
Badr aldin 	बद्र अलदीन 
Gurudwara Mehadiana 	गुरूद्वारा मेहदीआणा 
Lu luah 	लु लुअ 
Shri Mangal 	श्री मंगल 
Chris Silverwood 	क्रिस सिल्वरवुड 
Calf roping 	काफ रोपिंग 
James Michener 	जेम्स मिकॅनर 
Dummer's War 	ड्रमर्स वार 
Koning der Nederlanden 	कॉनिंग दर नीदरलैंडन 
Daku Hasina 	डाकू हसीना 
Aaj Ki Awaaz 	आज की आवाज़ 
Bridgeport Christian 	ब्रिजपोर्ट क्रिश्चियन 
Bank Manager 	बैंक मैनेजर 
Jawani Diwani 	जवानी दीवानी 
Ashok Malhotra 	अशोक मल्होत्रा 
Abdul waajid 	अब्दुल वाजिद 
Charnon Ki Dasi 	चरणों की दासी 
Fort frederica 	फोर्ट फ्रेडरिका 
Kaise Kaise Log 	कैसे कैसे लोग 
Warren Hegg 	वॉरेन हेग 
Pampa Award 	पैम्पा अवार्ड 
Fort battleford 	फोर्ट बैटलफोर्ड 
University of Nebraska 	यूनिवर्सिटी ऑफ नेब्रास्का 
Horn of Africa 	हॉर्न ऑफ अफ्रीका 
Biraj Bahu 	बिरज बहू 
Alan Hurst 	एलन हर्स्ट 
Instrumental Rock Guitar Hall Of Fame 	इंस्ट्रूमेंटल रॉक गिटार हॉल ऑफ फेम 
Prem Shastra 	प्रेम शास्त्र 
Dil Deke Dekho 	दिल देके देखो 
Nansen Refugee Award 	नानसेन रेफ्युजी अवार्ड 
Abdur Rauf 	अब्दुर रौफ 
Grindwell Norto 	ग्राइंडवेल नॉर्टो 
Hindustan Zinc 	हिंदुस्तान ज़िंक 
Geoff Cope 	जिऑफ कोप 
Sheikh Ruzbehan 	शेख़ रुज़बेहन 
Ze'ev Prize 	ज़ेव प्राइज़ 
Wildewood Christian 	वाइल्डवुड क्रिश्चियन 
Imran Abbas 	इमरान अब्बास 
Roland Butcher 	रॉलेंड बुचर 
Pyar Ka Bandhan 	प्यार का बंधन 
Brownlow Medal 	ब्राउनलो मेडल 
Turco-Persian War 	टर्को-पर्शियन वार 
Gurudwara Chola Sahib 	गुरूद्वारा चोला साहिब 
University of Hull 	यूनिवर्सिटी ऑफ हल 
Aan Aur Shaan 	आन और शान 
Elder Pharma 	एल्डर फ़ार्मा 
Chemin de fer fort 	केमिन डे फर फोर्ट 
Dana Pani 	दाना पानी 
Best Buy 	बेस्ट बाय 
Groupe Danone 	ग्रुप डैनॉन 
Hera Pheri 	हेरा फेरी 
Lal Kunwar 	लाल कुँवर 
Chhoti Odai 	छोटी ओदई 
Riding Mountain 	‍रायडिंग माउंटन 
Needles old battery 	नीडल्स ओल्ड बैटरी 
Half Ticket 	हाफ टिकिट 
Gurudwara Sahibdewa 	गुरूद्वारा साहिबदेवा 
Nadine Gordimer 	नादिन गार्डिमर 
Sajeewa Weerakoon 	सजीवा वीराकून 
Ha Ha He He Ho Ho 	हा हा ही ही हो हो 
Park Place Baptist 	पार्क प्लेस बैपटिस्ट 
National Royal Museum of Scotland 	नेशनल रॉयल म्युज़ियम ऑफ स्कॉटलैंड 
Holland Chapel Baptist 	हॉलैंड चैपेल बैपटिस्ट 
Shin Shinaki Babla Boo 	शिन शिनाकी बबला बू 
Heath Davis 	हीथ डेविस 
Tata Infotech 	टाटा इंफ़ोटेक 
Kahan Hai Manzil Teri 	कहाँ है मंज़िल तेरी 
Mark Haslam 	मार्क हेसलम 
Abdul kabeer 	अब्दुल कबीर 
Saint Xaviers's School, Chandigarh 	सेंट ज़ेवियर्स स्कूल, चंडीगढ़ 
Nau Do Gyarah 	नौ दो ग्यारह 
